Scheme Name		Net Asset Value
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option		10.5723
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION		10.9360
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION		26.4217
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION		10.3355
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION		10.3764
		
		
		
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION		22.5098
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)		12.2968
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION		21.0604
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)		11.5210
		
		
		
DSP Corporate Bond Fund - Direct - Growth		15.6694
DSP Corporate Bond Fund - Direct - IDCW		11.9224
DSP Corporate Bond Fund - Direct - IDCW - Monthly		10.5435
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 		11.3266
DSP Corporate Bond Fund - Regular - Growth		15.4162
DSP Corporate Bond Fund - Regular - IDCW		11.8742
DSP Corporate Bond Fund - Regular - IDCW - Monthly		10.5207
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 		10.6803
		
		
		
Franklin India Corporate Debt Fund - Direct - Bonus		0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH		102.5388
Franklin India Corporate Debt Fund - Growth		94.8974
Franklin India Corporate Debt Fund - Monthly Bonus		0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW		17.2392
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW		19.3858
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW		14.9155
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW		16.8741
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW		13.5383
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW		12.7404
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW		15.0375
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW		11.9211
		
		
		
HDFC Corporate Bond Fund - Growth Option		31.4153
HDFC Corporate Bond Fund - Growth Option - Direct Plan		32.0729
HDFC Corporate Bond Fund - IDCW Option		19.0178
HDFC Corporate Bond Fund - IDCW Option - Direct Plan		19.652
HDFC Corporate Bond Fund - Quarterly IDCW Option		10.4393
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan		10.3051
		
		
		
HSBC Corporate Bond Fund - Direct Annual IDCW		12.4601
HSBC Corporate Bond Fund - Direct Growth		74.8898
HSBC Corporate Bond Fund - Direct Quarterly IDCW		11.3966
HSBC Corporate Bond Fund - Direct Semi Annual IDCW		20.335
HSBC Corporate Bond Fund - Regular Annual IDCW		12.2074
HSBC Corporate Bond Fund - Regular Growth		70.394
HSBC Corporate Bond Fund - Regular Quarterly IDCW		11.0048
HSBC Corporate Bond Fund - Regular Semi Annual IDCW		17.0198
HSBC Corporate Bond Fund -Regular Plan - Bonus		26.7395
		
		
		
ICICI Prudential Corporate Bond Fund - Bonus		14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW		10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW		10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW		12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth		30.1302
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option		12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW		10.2528
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW		15.2434
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW		10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW		10.2243
ICICI Prudential Corporate Bond Fund - Growth		28.7885
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option		12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW		10.4071
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend		10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend		10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW		10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW		11.0239
ICICI Prudential Corporate Bond Fund Retail Daily Dividend		10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend		10.3041
ICICI Prudential Corporate Bond Fund Retail Growth		22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend		10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend		10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend		10.2202
		
		
		
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)		1892.1022
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)		1303.24
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)		3279.1924
Invesco India Corporate Bond Fund - Direct Plan - Growth		3278.16
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)		1257.9969
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)		1328.5208
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)		3217.6324
Invesco India Corporate Bond Fund - Growth		3063.6576
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)		1755.9868
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)		1162.3173
		
		
		
Kotak Coporate Bond Fund- Retail Plan-Growth Option		2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option		3793.7458
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option		1071.7154
Kotak Corporate Bond Fund- Institutional Plan-Growth Option		2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option		3638.0137
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option		1185.1244
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option		1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option		1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option		1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option		1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option		1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option		1202.9939
		
		
		
Mirae Asset Corporate Bond Fund Direct Growth Plan		12.5250
Mirae Asset Corporate Bond Fund Direct IDCW		12.5223
Mirae Asset Corporate Bond Fund Regular Growth		12.3090
Mirae Asset Corporate Bond Fund Regular IDCW		12.3090
		
		
		
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option		17.0880
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option		17.0891
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option		19.1838
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option		11.7806
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option		12.1799
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option		17.0938
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus		43.2236
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option		60.5410
